"kategori1";"word";"Frekvens";"Sqrt_tf_idf"
"5100 - Natur- og miljøvern";"1";3;0.0274485126816504
"6100 - Lokalsamfunnsutvikling";"1";3;0.0123981406989611
"7100 - Interesseorganisasjoner";"1";15;0.0180078993718143
"7300 - Politiske organisasjoner";"1";1;0.0317639396340735
"9100 - Internasjonale aktiviteter";"1";2;0.0157492788880289
"9100 - Internasjonale aktiviteter";"1,3";1;0.0249017963956876
"1100 - Kultur og kunst";"1.4.2002";1;0.00821809835166093
"10100 - Tros- og livssynsorganisasjoner";"10";6;0.0262175873164767
"1100 - Kultur og kunst";"10";12;0.0180049513880029
"1200 - Idrett";"10";13;0.0165423967575227
"1300 - Rekreasjon og sosiale foreninger";"10";9;0.0163739876194568
"13100 - Barne- og ungdomsorganisasjoner";"10";15;0.0395023973693843
"2100 - Grunn og videregående utdanning";"10";1;0.0582904820434904
"3400 - Andre helsetjenester";"10";1;0.0158733077112291
"9100 - Internasjonale aktiviteter";"10";1;0.0157492788880289
"7100 - Interesseorganisasjoner";"10.000";1;0.0103968655498567
"1100 - Kultur og kunst";"100";2;0.00900247569400143
"1200 - Idrett";"100";3;0.00973269275402335
"1300 - Rekreasjon og sosiale foreninger";"100";3;0.0115781576807825
"6100 - Lokalsamfunnsutvikling";"100";1;0.0123981406989611
"1100 - Kultur og kunst";"1000";2;0.0103951635306096
"1200 - Idrett";"1000";2;0.00917607072743345
"1300 - Rekreasjon og sosiale foreninger";"101";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"102";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"103";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"104";4;0.0133693049074394
"4300 - Økonomisk og materiell støtte";"104";1;0.0431659457497802
"7100 - Interesseorganisasjoner";"104";1;0.00805337742547051
"9100 - Internasjonale aktiviteter";"104";1;0.0192888485462292
"13100 - Barne- og ungdomsorganisasjoner";"104d";1;0.0161267861952753
"1300 - Rekreasjon og sosiale foreninger";"105";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"106";2;0.0122044497932818
"1100 - Kultur og kunst";"1067";1;0.00821809835166093
"1300 - Rekreasjon og sosiale foreninger";"107";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"108";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"109";2;0.0122044497932818
"1100 - Kultur og kunst";"11";2;0.00807724524684007
"1200 - Idrett";"11";3;0.00873241416677991
"1300 - Rekreasjon og sosiale foreninger";"11";5;0.0134111230290831
"13100 - Barne- og ungdomsorganisasjoner";"11";2;0.0158503830896922
"6100 - Lokalsamfunnsutvikling";"11";1;0.0111239204008144
"7100 - Interesseorganisasjoner";"11";2;0.0102186697276071
"1300 - Rekreasjon og sosiale foreninger";"110";3;0.014947337292478
"1300 - Rekreasjon og sosiale foreninger";"111";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"112";2;0.0109159917463045
"5100 - Natur- og miljøvern";"112";2;0.0448232335122378
"10100 - Tros- og livssynsorganisasjoner";"1125";1;0.0169233798424088
"1300 - Rekreasjon og sosiale foreninger";"113";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"114";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"115";2;0.0109159917463045
"7100 - Interesseorganisasjoner";"115";1;0.00929923924896211
"1300 - Rekreasjon og sosiale foreninger";"116";1;0.0086298492094803
"1200 - Idrett";"117";1;0.00648846183601557
"1300 - Rekreasjon og sosiale foreninger";"117";1;0.00771877178718831
"1300 - Rekreasjon og sosiale foreninger";"118";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"119";2;0.0122044497932818
"10100 - Tros- og livssynsorganisasjoner";"12";1;0.0117615359226535
"1100 - Kultur og kunst";"12";7;0.0151111421713119
"1200 - Idrett";"12";7;0.0133389829729912
"1300 - Rekreasjon og sosiale foreninger";"12";9;0.0179929096485856
"13100 - Barne- og ungdomsorganisasjoner";"12";3;0.0194126753986925
"3100 - Sykehus og rehabilitering";"12";1;0.0634348627449478
"1300 - Rekreasjon og sosiale foreninger";"120";2;0.0122044497932818
"1200 - Idrett";"1200";1;0.00725432086737195
"1300 - Rekreasjon og sosiale foreninger";"121";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"122";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"123";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"124";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"125";3;0.014947337292478
"1300 - Rekreasjon og sosiale foreninger";"126";2;0.0122044497932818
"1200 - Idrett";"1260";1;0.00725432086737195
"1300 - Rekreasjon og sosiale foreninger";"127";2;0.0122044497932818
"1300 - Rekreasjon og sosiale foreninger";"128";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"129";1;0.0086298492094803
"10100 - Tros- og livssynsorganisasjoner";"13";2;0.0158489781649915
"1100 - Kultur og kunst";"13";9;0.0163264497586427
"1200 - Idrett";"13";5;0.0107418956758175
"1300 - Rekreasjon og sosiale foreninger";"13";5;0.0127787206550537
"13100 - Barne- og ungdomsorganisasjoner";"13";12;0.036994538868843
"5100 - Natur- og miljøvern";"13";1;0.0234661778945754
"7100 - Interesseorganisasjoner";"13";2;0.00973680769553514
"1300 - Rekreasjon og sosiale foreninger";"130";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"131";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"132";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"133";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"134";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"135";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"136";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"137";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"138";1;0.00771877178718831
"4100 - Sosiale tjenester";"138";1;0.01636001922379
"1300 - Rekreasjon og sosiale foreninger";"139";1;0.0086298492094803
"10100 - Tros- og livssynsorganisasjoner";"14";3;0.0162705868526476
"1100 - Kultur og kunst";"14";6;0.011173839980008
"1200 - Idrett";"14";1;0.00402672757674515
"1300 - Rekreasjon og sosiale foreninger";"14";8;0.013548889121419
"13100 - Barne- og ungdomsorganisasjoner";"14";3;0.0155047205633693
"14100 - Mangfold og inkludering";"14";1;0.0213667323417159
"3400 - Andre helsetjenester";"14";1;0.0139313411575774
"4100 - Sosiale tjenester";"14";1;0.0101529980801998
"4300 - Økonomisk og materiell støtte";"14";1;0.0309329345949191
"6100 - Lokalsamfunnsutvikling";"14";1;0.00888457020176654
"7100 - Interesseorganisasjoner";"14";1;0.00577109091074521
"1300 - Rekreasjon og sosiale foreninger";"140";1;0.0086298492094803
"13100 - Barne- og ungdomsorganisasjoner";"1400";1;0.0161267861952753
"1300 - Rekreasjon og sosiale foreninger";"141";1;0.0086298492094803
"7100 - Interesseorganisasjoner";"1418";1;0.0103968655498567
"1300 - Rekreasjon og sosiale foreninger";"142";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"143";1;0.00771877178718831
"6100 - Lokalsamfunnsutvikling";"143";1;0.0143161397399921
"7100 - Interesseorganisasjoner";"144";1;0.0103968655498567
"1300 - Rekreasjon og sosiale foreninger";"145";1;0.00713207569056261
"6200 - Bolig- og lokalmiljø";"145";1;0.0796628891592569
"7100 - Interesseorganisasjoner";"145";1;0.00859241340679765
"1300 - Rekreasjon og sosiale foreninger";"146";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"147";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"148";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"149";1;0.0086298492094803
"10100 - Tros- og livssynsorganisasjoner";"15";1;0.011206919935343
"1100 - Kultur og kunst";"15";4;0.0108842998390951
"1200 - Idrett";"15";11;0.0159328060919074
"1300 - Rekreasjon og sosiale foreninger";"15";13;0.0206050679229099
"13100 - Barne- og ungdomsorganisasjoner";"15";2;0.0151029572497041
"4100 - Sosiale tjenester";"15";1;0.0121126169471454
"7100 - Interesseorganisasjoner";"15";1;0.00688496274862226
"7100 - Interesseorganisasjoner";"15.0";1;0.0103968655498567
"1100 - Kultur og kunst";"15.00";1;0.00821809835166093
"7100 - Interesseorganisasjoner";"15.1";1;0.0103968655498567
"7100 - Interesseorganisasjoner";"15.2";1;0.0103968655498567
"7100 - Interesseorganisasjoner";"15.3";1;0.0103968655498567
"7100 - Interesseorganisasjoner";"15.4";1;0.0103968655498567
"7100 - Interesseorganisasjoner";"15.5";1;0.0103968655498567
"1200 - Idrett";"150";1;0.00648846183601557
"1300 - Rekreasjon og sosiale foreninger";"150";2;0.0109159917463045
"1100 - Kultur og kunst";"1500";1;0.00821809835166093
"1300 - Rekreasjon og sosiale foreninger";"151";1;0.0086298492094803
"7100 - Interesseorganisasjoner";"1514";1;0.0103968655498567
"7100 - Interesseorganisasjoner";"152";1;0.0103968655498567
"1100 - Kultur og kunst";"154";1;0.00821809835166093
"7100 - Interesseorganisasjoner";"1541";1;0.0103968655498567
"1300 - Rekreasjon og sosiale foreninger";"155";1;0.0086298492094803
"1100 - Kultur og kunst";"158";1;0.00821809835166093
"10100 - Tros- og livssynsorganisasjoner";"16";5;0.0250594347938245
"1100 - Kultur og kunst";"16";8;0.0153927244493837
"1200 - Idrett";"16";11;0.0159328060919074
"1300 - Rekreasjon og sosiale foreninger";"16";8;0.0161639451412034
"13100 - Barne- og ungdomsorganisasjoner";"16";4;0.0213588069744726
"4100 - Sosiale tjenester";"16";2;0.0171298271624832
"7100 - Interesseorganisasjoner";"16";1;0.00688496274862226
"1200 - Idrett";"160";1;0.00725432086737195
"7100 - Interesseorganisasjoner";"1613";1;0.0103968655498567
"1300 - Rekreasjon og sosiale foreninger";"162";1;0.0086298492094803
"6100 - Lokalsamfunnsutvikling";"169";1;0.0160059308170042
"1100 - Kultur og kunst";"17";21;0.0261732660011089
"1200 - Idrett";"17";3;0.00873241416677991
"1300 - Rekreasjon og sosiale foreninger";"17";15;0.0232287464729289
"13100 - Barne- og ungdomsorganisasjoner";"17";6;0.0274536688307774
"6100 - Lokalsamfunnsutvikling";"17";13;0.0401078653893161
"7100 - Interesseorganisasjoner";"17";1;0.00722569065909665
"1100 - Kultur og kunst";"17.00";1;0.00821809835166093
"13100 - Barne- og ungdomsorganisasjoner";"17.01.1966";1;0.0161267861952753
"1300 - Rekreasjon og sosiale foreninger";"170";1;0.0086298492094803
"1100 - Kultur og kunst";"1700";3;0.0142341638866748
"1100 - Kultur og kunst";"1704";1;0.00821809835166093
"1200 - Idrett";"173";1;0.00725432086737195
"1100 - Kultur og kunst";"1750";1;0.00821809835166093
"1300 - Rekreasjon og sosiale foreninger";"1781";11;0.0286219718251913
"1100 - Kultur og kunst";"1788";1;0.00821809835166093
"10100 - Tros- og livssynsorganisasjoner";"18";2;0.0151367310946703
"1100 - Kultur og kunst";"18";20;0.0232442922916697
"1200 - Idrett";"18";8;0.0129769236720311
"1300 - Rekreasjon og sosiale foreninger";"18";11;0.0181021244185543
"13100 - Barne- og ungdomsorganisasjoner";"18";19;0.0444584814260421
"7100 - Interesseorganisasjoner";"18";5;0.0147033882667769
"8100 - Pengeutdelende stiftelser";"18";1;0.0422938165406487
"9100 - Internasjonale aktiviteter";"18";1;0.0157492788880289
"1200 - Idrett";"18.11.45";1;0.00725432086737195
"7100 - Interesseorganisasjoner";"1800";1;0.0103968655498567
"1100 - Kultur og kunst";"1812";1;0.00821809835166093
"1100 - Kultur og kunst";"1814";1;0.00821809835166093
"1200 - Idrett";"1814s";1;0.00725432086737195
"1300 - Rekreasjon og sosiale foreninger";"1819";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"1859";1;0.0086298492094803
"1200 - Idrett";"1860";1;0.00725432086737195
"7100 - Interesseorganisasjoner";"1861";1;0.0103968655498567
"1200 - Idrett";"1873";1;0.00725432086737195
"1200 - Idrett";"1880";1;0.00725432086737195
"1200 - Idrett";"1881";1;0.00725432086737195
"1100 - Kultur og kunst";"1882";1;0.00821809835166093
"1300 - Rekreasjon og sosiale foreninger";"1887";1;0.0086298492094803
"1100 - Kultur og kunst";"1888";1;0.00821809835166093
"1300 - Rekreasjon og sosiale foreninger";"1890";1;0.0086298492094803
"1100 - Kultur og kunst";"1893";1;0.00821809835166093
"1100 - Kultur og kunst";"1894";1;0.00821809835166093
"1100 - Kultur og kunst";"1895";1;0.00821809835166093
"1200 - Idrett";"18år";2;0.0102591589564436
"10100 - Tros- og livssynsorganisasjoner";"19";2;0.0166333236161549
"1100 - Kultur og kunst";"19";12;0.0197851293820789
"1200 - Idrett";"19";2;0.00712998631042063
"1300 - Rekreasjon og sosiale foreninger";"19";5;0.0134111230290831
"13100 - Barne- og ungdomsorganisasjoner";"19";3;0.0194126753986925
"7100 - Interesseorganisasjoner";"19";1;0.00722569065909665
"1100 - Kultur og kunst";"1900";2;0.0116221461458349
"1300 - Rekreasjon og sosiale foreninger";"1901";1;0.0086298492094803
"1100 - Kultur og kunst";"1904";1;0.00821809835166093
"1300 - Rekreasjon og sosiale foreninger";"1905";2;0.0122044497932818
"1200 - Idrett";"1909";1;0.00725432086737195
"1300 - Rekreasjon og sosiale foreninger";"1911";2;0.0122044497932818
"1100 - Kultur og kunst";"1913";1;0.00735049062403712
"1200 - Idrett";"1913";1;0.00648846183601557
"1100 - Kultur og kunst";"1914";1;0.00735049062403712
"1300 - Rekreasjon og sosiale foreninger";"1914";1;0.00771877178718831
"6100 - Lokalsamfunnsutvikling";"1918";1;0.0160059308170042
"1100 - Kultur og kunst";"1919";2;0.0103951635306096
"1200 - Idrett";"1919";1;0.00648846183601557
"1100 - Kultur og kunst";"1920";1;0.00821809835166093
"6100 - Lokalsamfunnsutvikling";"1927";1;0.0160059308170042
"1200 - Idrett";"1928";1;0.00725432086737195
"1200 - Idrett";"1930";1;0.00725432086737195
"1100 - Kultur og kunst";"1932";1;0.00821809835166093
"1300 - Rekreasjon og sosiale foreninger";"1934";2;0.0122044497932818
"1100 - Kultur og kunst";"1935";1;0.00821809835166093
"1100 - Kultur og kunst";"1940";4;0.0135835744179968
"2100 - Grunn og videregående utdanning";"1940";1;0.0761693741870581
"8100 - Pengeutdelende stiftelser";"1940";1;0.0552662017013329
"1100 - Kultur og kunst";"1945";2;0.00960503758371768
"1200 - Idrett";"1945";1;0.00599528036398219
"8100 - Pengeutdelende stiftelser";"1945";1;0.0552662017013329
"7100 - Interesseorganisasjoner";"1947";1;0.0103968655498567
"1100 - Kultur og kunst";"1950";1;0.00821809835166093
"1200 - Idrett";"1951";1;0.00725432086737195
"10100 - Tros- og livssynsorganisasjoner";"1952";1;0.0169233798424088
"1100 - Kultur og kunst";"1953";1;0.00679178720899842
"1300 - Rekreasjon og sosiale foreninger";"1953";1;0.00713207569056261
"7100 - Interesseorganisasjoner";"1953";1;0.00859241340679765
"1200 - Idrett";"1954";1;0.00725432086737195
"1100 - Kultur og kunst";"1955";1;0.00821809835166093
"7100 - Interesseorganisasjoner";"1960";3;0.0180078993718143
"1100 - Kultur og kunst";"1962";1;0.00821809835166093
"1200 - Idrett";"1967";1;0.00725432086737195
"9100 - Internasjonale aktiviteter";"1973";1;0.0249017963956876
"1200 - Idrett";"1976";1;0.00725432086737195
"1100 - Kultur og kunst";"1984";1;0.00821809835166093
"1300 - Rekreasjon og sosiale foreninger";"1985";1;0.00713207569056261
"13100 - Barne- og ungdomsorganisasjoner";"1985";1;0.0133278643691562
"7100 - Interesseorganisasjoner";"1985";1;0.00859241340679765
"1100 - Kultur og kunst";"1986";1;0.00821809835166093
"7100 - Interesseorganisasjoner";"1988";1;0.0103968655498567
"1100 - Kultur og kunst";"1989";1;0.00735049062403712
"9100 - Internasjonale aktiviteter";"1989";1;0.0222728438010467
"1100 - Kultur og kunst";"1990";1;0.00735049062403712
"1300 - Rekreasjon og sosiale foreninger";"1990";1;0.00771877178718831
"7100 - Interesseorganisasjoner";"1991";1;0.0103968655498567
"1100 - Kultur og kunst";"1995";3;0.012731423221391
"1200 - Idrett";"1995";1;0.00648846183601557
"1100 - Kultur og kunst";"1996";1;0.00735049062403712
"1200 - Idrett";"1996";3;0.0112383455629506
"2100 - Grunn og videregående utdanning";"1997";1;0.0921653445832879
"1200 - Idrett";"1999";1;0.00648846183601557
"1300 - Rekreasjon og sosiale foreninger";"1999";1;0.00771877178718831
"1200 - Idrett";"1dykkeklubb";1;0.00725432086737195
"13100 - Barne- og ungdomsorganisasjoner";"1vennesla";3;0.0279324130530173
"10100 - Tros- og livssynsorganisasjoner";"2";2;0.0111904850980839
"1100 - Kultur og kunst";"2";35;0.0227327601517781
"1200 - Idrett";"2";24;0.0166168689610397
"12100 - Andre";"2";1;0.0468635299535038
"1300 - Rekreasjon og sosiale foreninger";"2";32;0.0228257475461013
"13100 - Barne- og ungdomsorganisasjoner";"2";17;0.031089884032485
"3400 - Andre helsetjenester";"2";1;0.0117350313148097
"4100 - Sosiale tjenester";"2";5;0.0191236431678979
"4200 - Krisehjelp og støttearbeid";"2";1;0.0196464639683134
"4300 - Økonomisk og materiell støtte";"2";1;0.0260562821643985
"5100 - Natur- og miljøvern";"2";2;0.0234317649767519
"6100 - Lokalsamfunnsutvikling";"2";4;0.0149677921683292
"7100 - Interesseorganisasjoner";"2";12;0.0168399137961507
"8100 - Pengeutdelende stiftelser";"2";1;0.0312675385972782
"9100 - Internasjonale aktiviteter";"2";3;0.0201668523393792
"8100 - Pengeutdelende stiftelser";"2,5";1;0.0668723956048767
"1100 - Kultur og kunst";"2.000";1;0.00821809835166093
"3100 - Sykehus og rehabilitering";"2.1";1;0.0754334209452859
"4200 - Krisehjelp og støttearbeid";"2.1";1;0.0347256448413018
"9100 - Internasjonale aktiviteter";"2.1";1;0.0205799072977914
"3100 - Sykehus og rehabilitering";"2.2";1;0.0754334209452859
"4200 - Krisehjelp og støttearbeid";"2.2";1;0.0347256448413018
"9100 - Internasjonale aktiviteter";"2.2";2;0.0291043840129177
"3100 - Sykehus og rehabilitering";"2.3";1;0.0754334209452859
"4200 - Krisehjelp og støttearbeid";"2.3";1;0.0347256448413018
"9100 - Internasjonale aktiviteter";"2.3";2;0.0291043840129177
"3100 - Sykehus og rehabilitering";"2.4";1;0.0754334209452859
"4200 - Krisehjelp og støttearbeid";"2.4";1;0.0347256448413018
"9100 - Internasjonale aktiviteter";"2.4";1;0.0205799072977914
"3100 - Sykehus og rehabilitering";"2.5";1;0.0816386963158607
"4200 - Krisehjelp og støttearbeid";"2.5";1;0.0375822326237563
"3100 - Sykehus og rehabilitering";"2.6";1;0.091274837278363
"3100 - Sykehus og rehabilitering";"2.7";1;0.091274837278363
"10100 - Tros- og livssynsorganisasjoner";"20";3;0.0185386337778311
"1100 - Kultur og kunst";"20";9;0.0155927452959144
"1200 - Idrett";"20";5;0.0102591589564436
"1300 - Rekreasjon og sosiale foreninger";"20";10;0.0172596984189606
"13100 - Barne- og ungdomsorganisasjoner";"20";3;0.0176660091584304
"4100 - Sosiale tjenester";"20";1;0.0115682805334842
"4300 - Økonomisk og materiell støtte";"20";1;0.0352448471172073
"7100 - Interesseorganisasjoner";"20";2;0.00929923924896211
"1200 - Idrett";"200";3;0.0103841301960372
"6100 - Lokalsamfunnsutvikling";"200";1;0.0132279843266992
"7100 - Interesseorganisasjoner";"200";2;0.0121515075734096
"1100 - Kultur og kunst";"2000";1;0.00601447119158042
"3400 - Andre helsetjenester";"2000";1;0.0183680712021815
"6100 - Lokalsamfunnsutvikling";"2000";1;0.0117140493668885
"7100 - Interesseorganisasjoner";"2000";1;0.00760901678911034
"9100 - Internasjonale aktiviteter";"2000";1;0.0182245491148442
"1200 - Idrett";"2003";1;0.00725432086737195
"9100 - Internasjonale aktiviteter";"2005";1;0.0249017963956876
"1100 - Kultur og kunst";"2007";1;0.00735049062403712
"1300 - Rekreasjon og sosiale foreninger";"2007";1;0.00771877178718831
"1100 - Kultur og kunst";"2008";1;0.00679178720899842
"12100 - Andre";"2008";1;0.0828325290393102
"7100 - Interesseorganisasjoner";"2008";1;0.00859241340679765
"7100 - Interesseorganisasjoner";"2009";1;0.0103968655498567
"1300 - Rekreasjon og sosiale foreninger";"2010";1;0.0086298492094803
"1100 - Kultur og kunst";"2011";2;0.0103951635306096
"7100 - Interesseorganisasjoner";"2011";1;0.00929923924896211
"1100 - Kultur og kunst";"2013";2;0.0116221461458349
"1100 - Kultur og kunst";"2014";1;0.00821809835166093
"3400 - Andre helsetjenester";"2015";1;0.0224482470449416
"6100 - Lokalsamfunnsutvikling";"2015";3;0.0247962813979222
"1100 - Kultur og kunst";"2017";1;0.00821809835166093
"4100 - Sosiale tjenester";"208";1;0.0182910575487989
"1100 - Kultur og kunst";"21";3;0.0110257359360557
"1200 - Idrett";"21";1;0.0056191727814753
"1300 - Rekreasjon og sosiale foreninger";"21";7;0.01768592799344
"13100 - Barne- og ungdomsorganisasjoner";"21";3;0.0216363541147445
"7100 - Interesseorganisasjoner";"21.01.1999";1;0.0103968655498567
"7100 - Interesseorganisasjoner";"2100";1;0.0103968655498567
"6200 - Bolig- og lokalmiljø";"219";1;0.0963925161290176
"1100 - Kultur og kunst";"22";1;0.00601447119158042
"1300 - Rekreasjon og sosiale foreninger";"22";7;0.0167100727959759
"4100 - Sosiale tjenester";"22";1;0.0133864349127139
"4200 - Krisehjelp og støttearbeid";"22";3;0.0532628406503073
"7100 - Interesseorganisasjoner";"22";2;0.0107607747394844
"1200 - Idrett";"23";1;0.00530912408251615
"1300 - Rekreasjon og sosiale foreninger";"23";4;0.0126316277165537
"13100 - Barne- og ungdomsorganisasjoner";"23";1;0.0118024981977317
"4200 - Krisehjelp og støttearbeid";"23";1;0.0307513153872591
"9100 - Internasjonale aktiviteter";"23";1;0.0182245491148442
"1300 - Rekreasjon og sosiale foreninger";"230";1;0.0086298492094803
"1300 - Rekreasjon og sosiale foreninger";"232";1;0.0086298492094803
"1200 - Idrett";"2380";1;0.00725432086737195
"10100 - Tros- og livssynsorganisasjoner";"24";1;0.0107032852020387
"1100 - Kultur og kunst";"24";1;0.00519758176530479
"1200 - Idrett";"24";1;0.00458803536371672
"1300 - Rekreasjon og sosiale foreninger";"24";6;0.0133693049074394
"13100 - Barne- og ungdomsorganisasjoner";"24";1;0.0101994751431262
"14100 - Mangfold og inkludering";"24";1;0.0243451591205239
"6100 - Lokalsamfunnsutvikling";"24";1;0.0101230394905626
"7100 - Interesseorganisasjoner";"24";2;0.00929923924896211
"6100 - Lokalsamfunnsutvikling";"240";1;0.0160059308170042
"1100 - Kultur og kunst";"2400";1;0.00821809835166093
"1100 - Kultur og kunst";"25";4;0.0108842998390951
"1200 - Idrett";"25";2;0.00679377134469937
"1300 - Rekreasjon og sosiale foreninger";"25";6;0.0139983871176602
"13100 - Barne- og ungdomsorganisasjoner";"25";10;0.0337712390716116
"6100 - Lokalsamfunnsutvikling";"25";1;0.0105993712146848
"6200 - Bolig- og lokalmiljø";"25";1;0.0638325925839644
"8100 - Pengeutdelende stiftelser";"25";1;0.0442839190756923
"1200 - Idrett";"25.04.1991";1;0.00725432086737195
"1200 - Idrett";"250";1;0.00648846183601557
"6100 - Lokalsamfunnsutvikling";"250";1;0.0143161397399921
"1100 - Kultur og kunst";"26";1;0.00601447119158042
"1300 - Rekreasjon og sosiale foreninger";"26";3;0.0109393104936832
"13100 - Barne- og ungdomsorganisasjoner";"26";4;0.0236049963954635
"4100 - Sosiale tjenester";"26";1;0.0133864349127139
"9100 - Internasjonale aktiviteter";"26";1;0.0182245491148442
"1200 - Idrett";"260";1;0.00725432086737195
"10100 - Tros- og livssynsorganisasjoner";"27";1;0.011206919935343
"1100 - Kultur og kunst";"27";1;0.00544214991954757
"1200 - Idrett";"27";1;0.00480392178766777
"1300 - Rekreasjon og sosiale foreninger";"27";2;0.00808197257060172
"2300 - Annen utdanning";"27";1;0.0432100428787431
"3400 - Andre helsetjenester";"27";1;0.0166202138194845
"6200 - Bolig- og lokalmiljø";"27";1;0.0638325925839644
"10100 - Tros- og livssynsorganisasjoner";"28";3;0.0242248148177417
"1200 - Idrett";"28";2;0.00847860680097272
"1300 - Rekreasjon og sosiale foreninger";"28";1;0.00713207569056261
"10100 - Tros- og livssynsorganisasjoner";"28.19";1;0.0169233798424088
"1300 - Rekreasjon og sosiale foreninger";"29";3;0.014947337292478
"1200 - Idrett";"2dance";1;0.00725432086737195
"10100 - Tros- og livssynsorganisasjoner";"3";4;0.0172556097604615
"1100 - Kultur og kunst";"3";17;0.0172746400902498
"1200 - Idrett";"3";19;0.0161208068358171
"1300 - Rekreasjon og sosiale foreninger";"3";29;0.023692747109088
"13100 - Barne- og ungdomsorganisasjoner";"3";11;0.0272682573100154
"3400 - Andre helsetjenester";"3";2;0.018095294271901
"4100 - Sosiale tjenester";"3";1;0.00932506845876281
"4200 - Krisehjelp og støttearbeid";"3";1;0.0214215452473343
"5100 - Natur- og miljøvern";"3";2;0.0255488526833099
"6100 - Lokalsamfunnsutvikling";"3";2;0.0115400886721437
"7100 - Interesseorganisasjoner";"3";10;0.0167616064856556
"8100 - Pengeutdelende stiftelser";"3";1;0.0340925977272371
